City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,talnakh,69.4865,88.3972,0.67,99,100,2.73,RU,1684710139
1,tvoroyri,61.5556,-6.8111,8.64,86,71,10.3,FO,1684710139
2,buka,40.8108,69.1986,19.96,31,1,1.92,UZ,1684710140
3,edinburgh of the seven seas,-37.0676,-12.3116,15.81,85,82,8.75,SH,1684710140
4,waitangi,-43.9535,-176.5597,13.23,75,60,5.36,NZ,1684710140
5,port-aux-francais,-49.35,70.2167,6.7,90,93,12.91,TF,1684710140
6,albany,42.6001,-73.9662,22.02,52,23,2.09,US,1684710141
7,anadyr,64.75,177.4833,4.28,80,100,3.0,RU,1684710059
8,lihue,21.9789,-159.3672,27.58,76,91,5.48,US,1684710141
9,happy valley-goose bay,53.3168,-60.3315,3.17,93,100,8.75,CA,1684710142
10,alofi,-19.0595,-169.9187,25.94,83,100,5.14,NU,1684710142
11,whitehorse,60.7161,-135.0538,17.12,32,100,3.6,CA,1684709913
12,uturoa,-16.7333,-151.4333,27.4,73,14,1.26,PF,1684710142
13,stanley,54.868,-1.6985,8.21,86,0,1.03,GB,1684709936
14,tommot,58.9564,126.2925,3.05,73,87,3.38,RU,1684710143
15,east london,-33.0153,27.9116,13.53,75,69,4.52,ZA,1684710012
16,kingscliff,-28.2667,153.5667,18.76,48,13,4.63,AU,1684710143
17,isafjordur,66.0755,-23.124,4.3,67,78,5.02,IS,1684710033
18,pustoshka,56.3355,29.369,10.06,88,96,1.76,RU,1684710144
19,susuman,62.7833,148.1667,2.78,66,87,3.71,RU,1684710144
20,ust-nera,64.5667,143.2,3.45,79,100,1.82,RU,1684710144
21,hamilton,39.1834,-84.5333,25.34,41,0,2.57,US,1684709826
22,kodiak,57.79,-152.4072,6.73,93,100,6.17,US,1684710145
23,chul'man,56.8479,124.9104,5.33,93,100,3.41,RU,1684710145
24,kangding,30.0513,101.9603,10.23,96,93,1.41,CN,1684710145
25,qaqortoq,60.7167,-46.0333,1.82,66,100,4.97,GL,1684710061
26,port elizabeth,-33.918,25.5701,13.16,88,40,4.63,ZA,1684710017
27,wailua homesteads,22.0669,-159.378,27.24,76,90,2.68,US,1684710146
28,bethel,41.3712,-73.414,20.75,66,26,2.24,US,1684710043
29,rudnichnyy,59.617,52.4703,10.81,84,46,1.49,RU,1684710146
30,turi,40.9173,17.0212,15.22,92,100,1.54,IT,1684710146
31,minas de marcona,-15.2119,-75.1103,15.52,82,38,5.15,PE,1684710147
32,porto novo,6.4965,2.6036,27.9,81,100,3.25,BJ,1684710147
33,ribeira grande,38.5167,-28.7,16.54,81,100,2.24,PT,1684710147
34,grytviken,-54.2811,-36.5092,-1.08,59,99,4.19,GS,1684710029
35,tarko-sale,64.9225,77.785,1.44,74,15,2.05,RU,1684710148
36,nar'yan-mar,67.6713,53.087,10.03,79,58,2.84,RU,1684710148
37,nuuk,64.1835,-51.7216,3.34,44,75,5.66,GL,1684710148
38,fort wellington,6.4,-57.6,26.37,87,100,4.19,GY,1684710149
39,rasht,37.2808,49.5832,19.09,66,4,2.19,IR,1684710149
40,tiksi,71.6872,128.8694,-9.63,87,33,1.96,RU,1684710149
41,tsiombe,-25.3,45.4833,17.7,91,0,2.36,MG,1684710025
42,georgetown,5.4112,100.3354,26.97,83,20,0.51,MY,1684709893
43,bilibino,68.0546,166.4372,7.22,57,66,7.6,RU,1684710150
44,college,64.8569,-147.8028,21.93,41,0,0.45,US,1684710002
45,papatowai,-46.5619,169.4708,9.42,64,100,1.65,NZ,1684710038
46,qusmuryn,52.4503,64.6311,13.78,57,95,2.88,KZ,1684710150
47,constantia,44.1833,28.65,15.39,83,90,6.64,RO,1684710151
48,nungua,5.6011,-0.0771,28.23,83,0,3.09,GH,1684710151
49,khairpur mir's,27.5295,68.7617,33.0,55,19,6.73,PK,1684710151
50,faya-largeau,17.9257,19.1043,35.05,14,8,3.47,TD,1684710151
51,zmiyiv,49.6966,36.3611,13.13,97,99,3.04,UA,1684710152
52,adamstown,-25.066,-130.1015,24.34,81,98,7.88,PN,1684710152
53,utrik,11.2278,169.8474,27.87,82,71,6.75,MH,1684710152
54,torit,4.4133,32.5678,23.74,70,69,1.95,SS,1684710152
55,shixing,24.9482,114.0657,24.38,99,81,1.9,CN,1684710153
56,yellowknife,62.456,-114.3525,20.29,37,75,5.66,CA,1684710082
57,ilulissat,69.2167,-51.1,-1.99,74,100,3.6,GL,1684710153
58,robore,-18.3333,-59.75,25.7,62,100,2.21,BO,1684710153
59,puerto natales,-51.7236,-72.4875,0.51,90,44,2.2,CL,1684709868
60,kone,-21.0595,164.8658,23.99,62,96,3.32,NC,1684710086
61,orbetello,42.4408,11.2196,15.55,90,57,1.54,IT,1684710154
62,badger,64.8,-147.5333,21.88,41,96,0.89,US,1684710154
63,banff,51.1762,-115.5698,25.57,25,75,3.6,CA,1684710154
64,nova sintra,14.8667,-24.7167,20.2,79,100,7.78,CV,1684709997
65,lebu,-37.6167,-73.65,11.43,88,9,3.89,CL,1684710155
66,inebolu,41.9747,33.7608,13.43,91,97,0.89,TR,1684710155
67,kingston,17.997,-76.7936,26.53,96,40,3.09,JM,1684709593
68,kankan,10.3854,-9.3057,26.64,66,53,2.4,GN,1684710155
69,keflavik,64.0049,-22.5624,5.24,60,75,7.72,IS,1684709952
70,seichamps,48.7111,6.2619,17.16,80,0,1.54,FR,1684710156
71,'ain el turk,35.7438,-0.7693,20.38,68,40,5.14,DZ,1684710156
72,aykhal,66.0,111.5,-3.1,82,88,2.05,RU,1684710156
